Layer_ID,Response,PreHeat_SDC_gt40_Count_Last,PreHeat_SDC_gt40_Count_Last2,PreHeat_SDC_gt40_Count_Last5,PreHeat_SDC_gt40_Binary_Last,PreHeat_SDC_gt40_Binary_Last2,PreHeat_SDC_gt40_Binary_Last5,Melt_SDC_gt40_Count_Last,Melt_SDC_gt40_Count_Last2,Melt_SDC_gt40_Count_Last5,Melt_SDC_gt40_Binary_Last,Melt_SDC_gt40_Binary_Last2,Melt_SDC_gt40_Binary_Last5,PreHeat_SDC_gt60_Count_Last,PreHeat_SDC_gt60_Count_Last2,PreHeat_SDC_gt60_Count_Last5,PreHeat_SDC_gt60_Binary_Last,PreHeat_SDC_gt60_Binary_Last2,PreHeat_SDC_gt60_Binary_Last5,Melt_SDC_gt60_Count_Last,Melt_SDC_gt60_Count_Last2,Melt_SDC_gt60_Count_Last5,Melt_SDC_gt60_Binary_Last,Melt_SDC_gt60_Binary_Last2,Melt_SDC_gt60_Binary_Last5,Preheat_SDC_Mean_Last,Preheat_SDC_Mean_Last2,Preheat_SDC_Mean_Last5,Melt_SDC_Mean_Last,Melt_SDC_Mean_Last2,Melt_SDC_Mean_Last5,Preheat_SDC_Var_Last,Preheat_SDC_Var_Last2,Preheat_SDC_Var_Last5,Melt_SDC_Var_Last,Melt_SDC_Var_Last2,Melt_SDC_Var_Last5,SDC_ProcessRepeats_Count_Last,SDC_ProcessRepeats_Count_Last2,SDC_ProcessRepeats_Count_Last5,SDC_ProcessRepeats_Binary_Last,SDC_ProcessRepeats_Binary_Last2,SDC_ProcessRepeats_Binary_Last5,PreHeat_BC_lt4.9_Count_Last,PreHeat_BC_lt4.9_Count_Last2,PreHeat_BC_lt4.9_Count_Last5,PreHeat_BC_lt4.9_Binary_Last,PreHeat_BC_lt4.9_Binary_Last2,PreHeat_BC_lt4.9_Binary_Last5,PreHeat_BC_lt3_Count_Last,PreHeat_BC_lt3_Count_Last2,PreHeat_BC_lt3_Count_Last5,PreHeat_BC_lt3_Binary_Last,PreHeat_BC_lt3_Binary_Last2,PreHeat_BC_lt3_Binary_Last5,BC_ProcessRepeats_Count_Last,BC_ProcessRepeats_Count_Last2,BC_ProcessRepeats_Count_Last5,BC_ProcessRepeats_Binary_Last,BC_ProcessRepeats_Binary_Last2,BC_ProcessRepeats_Binary_Last5,BC_AbnormalPause_Count_Last,BC_AbnormalPause_Count_Last2,BC_AbnormalPause_Count_Last5,BC_AbnormalPause_Binary_Last,BC_AbnormalPause_Binary_Last2,BC_AbnormalPause_Binary_Last5,BC_PauseTime_gt15.55_Count_Last,BC_PauseTime_gt15.55_Count_Last2,BC_PauseTime_gt15.55_Count_Last5,BC_PauseTime_gt15.55_Binary_Last,BC_PauseTime_gt15.55_Binary_Last2,BC_PauseTime_gt15.55_Binary_Last5,BC_PauseTime_gt17.22734_Count_Last,BC_PauseTime_gt17.22734_Count_Last2,BC_PauseTime_gt17.22734_Count_Last5,BC_PauseTime_gt17.22734_Binary_Last,BC_PauseTime_gt17.22734_Binary_Last2,BC_PauseTime_gt17.22734_Binary_Last5,Preheat_BC_Mean_Last,Preheat_BC_Mean_Last2,Preheat_BC_Mean_Last5,Melt_BC_Mean_Last,Melt_BC_Mean_Last2,Melt_BC_Mean_Last5,Preheat_BC_Var_Last,Preheat_BC_Var_Last2,Preheat_BC_Var_Last5,Melt_BC_Var_Last,Melt_BC_Var_Last2,Melt_BC_Var_Last5,Preheat_HVGrid_gt1000_Count_Last,Preheat_HVGrid_gt1000_Count_Last2,Preheat_HVGrid_gt1000_Count_Last5,Preheat_HVGrid_gt1000_Binary_Last,Preheat_HVGrid_gt1000_Binary_Last2,Preheat_HVGrid_gt1000_Binary_Last5,Preheat_HVGrid_lt450_Count_Last,Preheat_HVGrid_lt450_Count_Last2,Preheat_HVGrid_lt450_Count_Last5,Preheat_HVGrid_lt450_Binary_Last,Preheat_HVGrid_lt450_Binary_Last2,Preheat_HVGrid_lt450_Binary_Last5,Melt_HVGrid_lt450_Count_Last,Melt_HVGrid_lt450_Count_Last2,Melt_HVGrid_lt450_Count_Last5,Melt_HVGrid_lt450_Binary_Last,Melt_HVGrid_lt450_Binary_Last2,Melt_HVGrid_lt450_Binary_Last5,HVG_ProcessRepeats_Count_Last,HVG_ProcessRepeats_Count_Last2,HVG_ProcessRepeats_Count_Last5,HVG_ProcessRepeats_Binary_Last,HVG_ProcessRepeats_Binary_Last2,HVG_ProcessRepeats_Binary_Last5,LLT_gt78.8_Binary_Last,LLT_gt78.8_Binary_Last2,LLT_gt78.8_Binary_Last5,BVG_FB_Var_Last,BVG_FB_Var_Last2,BVG_FB_Var_Last5,PL_gteq170_Count_Last,PL_gteq170_Count_Last2,PL_gteq170_Count_Last5,PL_gteq170_Binary_Last,PL_gteq170_Binary_Last2,PL_gteq170_Binary_Last5,PL_gteq160_Count_Last,PL_gteq160_Count_Last2,PL_gteq160_Count_Last5,PL_gteq160_Binary_Last,PL_gteq160_Binary_Last2,PL_gteq160_Binary_Last5,PL_lteq100_Count_Last,PL_lteq100_Count_Last2,PL_lteq100_Count_Last5,PL_lteq100_Binary_Last,PL_lteq100_Binary_Last2,PL_lteq100_Binary_Last5,PL_lteq110_Count_Last,PL_lteq110_Count_Last2,PL_lteq110_Count_Last5,PL_lteq110_Binary_Last,PL_lteq110_Binary_Last2,PL_lteq110_Binary_Last5,HVF_gt60400_Count_Last,HVF_gt60400_Count_Last2,HVF_gt60400_Count_Last5,HVF_gt60400_Binary_Last,HVF_gt60400_Binary_Last2,HVF_gt60400_Binary_Last5,HVF_lt59600_Count_Last,HVF_lt59600_Count_Last2,HVF_lt59600_Count_Last5,HVF_lt59600_Binary_Last,HVF_lt59600_Binary_Last2,HVF_lt59600_Binary_Last5,HVF_lt35500_Count_Last,HVF_lt35500_Count_Last2,HVF_lt35500_Count_Last5,HVF_lt35500_Binary_Last,HVF_lt35500_Binary_Last2,HVF_lt35500_Binary_Last5,HVF_lt13000_Count_Last,HVF_lt13000_Count_Last2,HVF_lt13000_Count_Last5,HVF_lt13000_Binary_Last,HVF_lt13000_Binary_Last2,HVF_lt13000_Binary_Last5,SDC_gtmax718_Last,SDC_gtmax718_Last2,SDC_gtmax718_Last5,SDC_ltmin718_Last,SDC_ltmin718_Last2,SDC_ltmin718_Last5,SDC_Preheat_gtmax718_Last,SDC_Preheat_gtmax718_Last2,SDC_Preheat_gtmax718_Last5,SDC_Preheat_ltmin718_Last,SDC_Preheat_ltmin718_Last2,SDC_Preheat_ltmin718_Last5,SDC_Melt_gtmax718_Last,SDC_Melt_gtmax718_Last2,SDC_Melt_gtmax718_Last5,SDC_Melt_ltmin718_Last,SDC_Melt_ltmin718_Last2,SDC_Melt_ltmin718_Last5,SDC_max_Last,SDC_max_Last2,SDC_max_Last5,SDC_min_Last,SDC_min_Last2,SDC_min_Last5,SDC_Preheat_max_Last,SDC_Preheat_max_Last2,SDC_Preheat_max_Last5,SDC_Preheat_min_Last,SDC_Preheat_min_Last2,SDC_Preheat_min_Last5,SDC_Melt_max_Last,SDC_Melt_max_Last2,SDC_Melt_max_Last5,SDC_Melt_min_Last,SDC_Melt_min_Last2,SDC_Melt_min_Last5,BC_Preheat_gtmax718_Last,BC_Preheat_gtmax718_Last2,BC_Preheat_gtmax718_Last5,BC_Preheat_ltmin718_Last,BC_Preheat_ltmin718_Last2,BC_Preheat_ltmin718_Last5,BC_Melt_gtmax718_Last,BC_Melt_gtmax718_Last2,BC_Melt_gtmax718_Last5,BC_Melt_ltmin718_Last,BC_Melt_ltmin718_Last2,BC_Melt_ltmin718_Last5,BC_Preheat_max_Last,BC_Preheat_max_Last2,BC_Preheat_max_Last5,BC_Preheat_min_Last,BC_Preheat_min_Last2,BC_Preheat_min_Last5,BC_Melt_max_Last,BC_Melt_max_Last2,BC_Melt_max_Last5,BC_Melt_min_Last,BC_Melt_min_Last2,BC_Melt_min_Last5,HVG_Preheat_gtmax718_Last,HVG_Preheat_gtmax718_Last2,HVG_Preheat_gtmax718_Last5,HVG_Preheat_ltmin718_Last,HVG_Preheat_ltmin718_Last2,HVG_Preheat_ltmin718_Last5,HVG_Melt_gtmax718_Last,HVG_Melt_gtmax718_Last2,HVG_Melt_gtmax718_Last5,HVG_Melt_ltmin718_Last,HVG_Melt_ltmin718_Last2,HVG_Melt_ltmin718_Last5,HVG_Preheat_max_Last,HVG_Preheat_max_Last2,HVG_Preheat_max_Last5,HVG_Preheat_min_Last,HVG_Preheat_min_Last2,HVG_Preheat_min_Last5,HVG_Melt_max_Last,HVG_Melt_max_Last2,HVG_Melt_max_Last5,HVG_Melt_min_Last,HVG_Melt_min_Last2,HVG_Melt_min_Last5,LastLayerTime_Last,LastLayerTime_Last2,LastLayerTime_Last5,PulseLength_Max_Last,PulseLength_Max_Last2,PulseLength_Max_Last5,PL_gtmax718_Last,PL_gtmax718_Last2,PL_gtmax718_Last5,PL_ltmin718_Last,PL_ltmin718_Last2,PL_ltmin718_Last5,HighVoltageFeedback_Max_Last,HighVoltageFeedback_Max_Last2,HighVoltageFeedback_Max_Last5,HVF_gtmax718_Last,HVF_gtmax718_Last2,HVF_gtmax718_Last5,HVF_ltmin718_Last,HVF_ltmin718_Last2,HVF_ltmin718_Last5,CVG_max_Last,CVG_max_Last2,CVG_max_Last5,CVG_min_Last,CVG_min_Last2,CVG_min_Last5,CVG_Mean_Last,CVG_Mean_Last2,CVG_Mean_Last5,CVG_Var_Last,CVG_Var_Last2,CVG_Var_Last5,BVG_gteq_max718_Last,BVG_gteq_max718_Last2,BVG_gteq_max718_Last5,BVG_ltmin718_Last,BVG_ltmin718_Last2,BVG_ltmin718_Last5,BVG_max_Last,BVG_max_Last2,BVG_max_Last5,BVG_min_Last,BVG_min_Last2,BVG_min_Last5,BVG_Mean_Last,BVG_Mean_Last2,BVG_Mean_Last5,BVG_Var_Last,BVG_Var_Last2,BVG_Var_Last5
629 / 86,0,1,2,5,1,1,1,1,3,11,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,15.92857143,14.90909091,14.9125,14.04255319,13.54807692,13.23396226,303.456044,117.3602941,117.3602941,141.3459759,118.8555556,118.8555556,0,0,0,0,0,0,1,2,4,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9444432,26.9444428,23.87551745,20.927373,23.87152814,21.32378465,413.0686754,276.4973066,276.4973066,452.5902107,371.6884153,347.130032,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002753275,0.002805025,0.003745871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,1,1,1,65,65,65,1,1,1,51,51,59,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,47.68518,47.68518,48.20602,4.832176,4.832176,0.752315,47.68518,47.68518,48.29282,0.318287,0.318287,0.318287,0,0,2,8,16,40,0,0,0,0,0,0,928.47228,928.47228,1163.19444,512.49996,512.49996,511.80564,1179.16668,1179.16668,1179.16668,514.5834,514.5834,513.1944,70.21572,73.55413,75.36373,140,140,140,0,0,0,0,0,0,59994.21,59994.21,59994.21,0,0,0,0,0,0,0.004463,0.004463,0.004463,0.004087,0.003985,0.003985,0.0043127,0.004267444,0.004240469,1.43E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.147126437,1.147,1.135362319,0.002753275,0.002519084,0.002519084
629 / 87,0,0,1,4,0,1,1,1,2,10,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,13.41666667,14.76923077,15.21052632,12.85365854,13.48863636,13.61023622,140.0833333,117.3602941,117.3602941,180.9780488,118.8555556,118.8555556,0,0,0,0,0,0,1,2,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45370283,24.49494845,23.8535671,20.99247713,20.95992506,21.31221098,432.6831047,276.4973066,276.4973066,449.0292009,386.4095303,346.2092448,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002882638,0.002785441,0.002726085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,72,1,1,1,35,65,65,1,1,1,72,72,72,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47.71412,47.71412,48.20602,4.02199,4.02199,1.012732,47.68518,47.68518,48.29282,0.5787035,0.318287,0.318287,0,0,1,7,15,40,0,0,0,0,0,0,948.61116,948.61116,1071.52788,512.49996,512.49996,511.80564,1123.61112,1179.16668,1179.16668,514.5834,514.5834,513.1944,64.63091,70.21572,73.55413,140,140,140,0,0,0,0,0,0,59994.21,59994.21,59994.21,0,0,0,0,0,0,0.004429,0.004463,0.004463,0.004087,0.004087,0.003985,0.004258,0.004297071,0.004247333,1.95E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.146551724,1.146896552,1.147765363,0.002882638,0.002519084,0.002519084
629 / 88,0,0,0,3,0,0,1,3,4,12,1,1,1,0,0,2,0,0,1,0,1,1,0,1,1,13.07692308,13.24,14.7260274,13.48780488,13.17073171,13.72727273,122.9102564,117.3602941,117.3602941,176.0560976,118.8555556,118.8555556,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72646533,24.59008408,24.69967186,20.934608,20.96354256,22.03033682,342.4882938,276.4973066,276.4973066,453.1066674,386.6306146,351.9438046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003429402,0.003148459,0.002830482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,72,72,1,1,1,40,40,65,1,1,1,53,72,72,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47.68518,47.71412,48.20602,4.918982,4.02199,4.02199,47.71412,47.71412,47.74305,0.318287,0.318287,0.318287,0,0,0,9,16,43,0,0,0,0,0,0,925.6944,948.61116,948.61116,514.5834,512.49996,511.80564,1177.7778,1177.7778,1179.16668,514.5834,514.5834,514.5834,65.66051,65.66051,73.55413,120,140,140,0,0,0,0,0,0,59994.21,59994.21,59994.21,0,0,0,0,0,0,0.004429,0.004429,0.004463,0.004087,0.004087,0.003985,0.004258,0.004258,0.004251912,1.95E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.140322581,1.143333333,1.146650718,0.003429402,0.002519084,0.002519084
629 / 89,0,0,0,2,0,0,1,1,4,8,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,11.07692308,12.07692308,13.61971831,11.5,12.45882353,13.02173913,115.7435897,117.3602941,117.3602941,127.6046512,118.8555556,118.8555556,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.54695671,28.24519146,26.59841841,21.744792,21.3397,22.19937924,337.4739744,276.4973066,276.4973066,410.3395501,370.2359212,344.4544975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336715,0.003371409,0.002975747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,72,1,1,1,32,40,65,1,1,1,57,57,72,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47.71412,47.71412,47.71412,4.918982,4.918982,4.02199,47.68518,47.71412,47.71412,3.587963,0.318287,0.318287,0,0,0,9,18,41,0,0,0,0,0,0,925.6944,925.6944,948.61116,512.49996,512.49996,512.49996,965.27784,1177.7778,1179.16668,514.5834,514.5834,514.5834,67.48572,67.48572,73.55413,120,120,140,0,0,0,0,0,0,59994.21,59994.21,59994.21,0,0,0,0,0,0,0.004429,0.004429,0.004463,0.004087,0.004087,0.003985,0.0042865,0.0042751,0.004268656,1.66E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.141304348,1.140740741,1.145081967,0.00336715,0.002519084,0.002519084
629 / 90,0,0,0,1,0,0,1,1,2,7,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,15.5,13.2,13.8125,13.89473684,12.6097561,13.14691943,164.0909091,117.3602941,117.3602941,165.0156472,118.8555556,118.8555556,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.95698083,26.04389092,25.61246023,20.934608,21.3397,21.10677163,440.7385248,276.4973066,276.4973066,453.1066674,370.2359212,350.3454358,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003628571,0.003469298,0.003124604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,57,72,1,1,1,38,38,65,1,1,1,47,57,72,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47.68518,47.71412,47.71412,1.273148,1.273148,1.273148,47.71412,47.71412,47.71412,0.318287,0.318287,0.318287,1,1,1,6,15,39,0,0,0,0,0,0,1054.16664,1054.16664,1054.16664,514.5834,512.49996,512.49996,1179.86112,1179.86112,1179.86112,514.5834,514.5834,514.5834,67.98492,67.98492,70.21572,130,130,140,0,0,0,0,0,0,59994.21,59994.21,59994.21,0,0,0,0,0,0,0.004429,0.004429,0.004463,0.004087,0.004087,0.004087,0.004258,0.0042751,0.004283643,1.95E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.138,1.139583333,1.143234323,0.003628571,0.002519084,0.002519084
629 / 91,0,1,1,1,1,1,1,2,3,8,1,1,1,0,0,0,0,0,0,1,1,2,1,1,1,14.66666667,15.08333333,13.5,14.88636364,14.42682927,13.3125,238.4242424,117.3602941,117.3602941,264.2891121,118.8555556,118.8555556,0,0,0,0,0,0,1,2,3,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.90393458,21.93045771,24.67984511,29.79600625,25.36530713,22.88049828,455.565016,276.4973066,276.4973066,279.802366,336.5394083,335.6400042,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004057971,0.003718993,0.003346583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,92,1,1,1,54,54,54,1,1,1,92,92,92,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,47.68518,47.68518,47.71412,0.8969905,0.8969905,0.8969905,47.68518,47.71412,47.71412,7.899305,0.318287,0.318287,1,2,2,7,13,38,0,0,0,0,0,0,1079.16672,1079.16672,1079.16672,512.49996,512.49996,512.49996,863.19444,1179.86112,1179.86112,514.5834,514.5834,514.5834,64.22531,67.98492,67.98492,130,130,140,0,0,0,0,0,0,59994.21,59994.21,59994.21,0,0,0,0,0,0,0.004429,0.004429,0.004429,0.004087,0.004087,0.004087,0.004258,0.004258,0.004265773,1.95E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.133333333,1.136486486,1.140833333,0.004057971,0.002519084,0.002519084
629 / 92,0,0,1,1,0,1,1,0,2,7,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,14.47058824,14.55172414,13.76119403,12.72222222,13.9125,13.30049261,141.1397059,117.3602941,117.3602941,127.1206349,118.8555556,118.8555556,0,0,0,0,0,0,1,2,3,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.448879,22.17640679,24.67891147,21.846065,25.37937222,22.99382771,417.803708,276.4973066,276.4973066,278.5165971,261.7401763,306.7480458,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004555556,0.004928699,0.003765271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,92,92,1,1,1,35,54,54,1,1,1,38,92,92,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,47.68518,47.68518,47.71412,4.195602,0.8969905,0.8969905,47.68518,47.68518,47.71412,7.58102,7.58102,0.318287,0,1,2,7,14,38,0,0,0,0,0,0,944.4444,1079.16672,1079.16672,514.5834,512.49996,512.49996,878.47224,878.47224,1179.86112,514.5834,514.5834,514.5834,64.30331,64.30331,67.98492,120,130,130,0,0,0,0,0,0,59953.7,59994.21,59994.21,0,0,0,0,0,0,0.004463,0.004463,0.004463,0.004087,0.004087,0.004087,0.004309167,0.0042887,0.004277917,2.00E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1,1,1,1.07,1.114705882,1.135416667,0.004555556,0.002519084,0.002519084
629 / 93,0,0,0,1,0,0,1,3,3,7,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,12.07692308,13.43333333,13.56716418,13.73913043,13.29268293,13.36057692,130.4102564,117.3602941,117.3602941,168.0193237,118.8555556,118.8555556,0,0,0,0,0,0,0,1,3,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.82919886,21.57674354,23.45287048,18.1481484,19.9971067,22.26694055,383.9974519,276.4973066,276.4973066,378.0631049,295.6116973,303.6528953,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005151515,0.003918575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,92,1,1,1,31,35,54,1,1,1,53,53,92,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,48.4375,48.4375,48.4375,4.918982,4.195602,0.8969905,47.68518,47.68518,47.71412,0.318287,0.318287,0.318287,0,0,2,11,18,40,0,0,0,0,0,0,925.6944,944.4444,1079.16672,510.41664,510.41664,510.41664,1177.08336,1177.08336,1179.86112,514.5834,514.5834,514.5834,66.78371,66.78371,67.98492,150,150,150,0,0,0,0,0,0,59953.7,59953.7,59994.21,0,0,0,0,0,0,0.004463,0.004463,0.004463,0.004121,0.004087,0.004087,0.004292,0.0043023,0.004283583,1.95E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1.1,1,1,1.15,1.083333333,1.133333333,0.005,0.002519084,0.002519084
629 / 94,0,2,2,3,1,1,1,0,3,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,17.15384615,14.61538462,14.74626866,12.90243902,13.34482759,13.66829268,290.3076923,117.3602941,117.3602941,123.8402439,118.8555556,118.8555556,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61284617,21.65242069,21.91420115,18.2870374,18.2175929,21.49255265,411.6078598,276.4973066,276.4973066,374.2995184,334.3887465,304.872966,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002539683,0.002538462,0.003594232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,92,1,1,1,47,47,54,1,1,1,35,53,92,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,47.74305,48.4375,48.4375,4.918982,4.918982,0.8969905,47.68518,47.68518,47.71412,0.318287,0.318287,0.318287,0,0,2,9,20,40,0,0,0,0,0,0,932.63892,932.63892,1079.16672,513.88884,510.41664,510.41664,1179.86112,1179.86112,1179.86112,513.88884,513.88884,513.88884,63.91331,66.78371,67.98492,150,150,150,0,0,0,0,0,0,59953.7,59953.7,59994.21,0,0,0,0,0,0,0.004463,0.004463,0.004463,0.004121,0.004121,0.004087,0.0043205,0.0043091,0.004292083,1.66E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1.1,1.1,1,1.150793651,1.150769231,1.138255034,0.002539683,0.002519084,0.002519084
629 / 95,0,2,4,5,1,1,1,2,2,7,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,13.06666667,14.96428571,14.25714286,14.35294118,13.56,13.74129353,296.352381,117.3602941,117.3602941,194.5383244,118.8555556,118.8555556,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.37747957,26.25534108,23.53877211,21.426505,19.68235633,21.57809996,337.5387905,276.4973066,276.4973066,426.1556636,349.6959822,301.1343708,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002522523,0.002514286,0.003053487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,92,1,1,1,51,51,54,1,1,1,46,46,92,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,47.68518,47.74305,48.4375,4.918982,4.918982,0.8969905,47.68518,47.68518,47.68518,2.314815,0.318287,0.318287,0,0,1,9,18,43,0,0,0,0,0,0,925.6944,932.63892,1079.16672,511.80564,511.80564,510.41664,1006.94448,1179.86112,1179.86112,513.88884,513.88884,513.88884,64.45931,64.45931,66.78371,150,150,150,0,0,0,0,0,0,59953.7,59953.7,59994.21,0,0,0,0,0,0,0.004497,0.004497,0.004497,0.004019,0.004019,0.004019,0.004246667,0.004283583,0.004286846,2.87E-08,1.86E-08,1.86E-08,0,0,0,0,0,0,1.2,1.2,1.2,1.1,1.1,1,1.15,1.150285714,1.144549763,0.002522523,0.002519084,0.002519084
